,Influencer insta name,instagram name,category_1,category_2,Followers,Audience country(mostly),"Authentic engagement
","Engagement avg
",New_Category
7,_seorina,설인아 sᴇᴏʀɪɴᴀ,Lifestyle,Cinema & Actors/actresses,3M,South Korea,803.9K,997.8K,Lifestyle
15,abdevilliers17,AB de Villiers,Sports with a ball,Lifestyle,17.2M,India,534K,615.9K,Sports
25,adidasoriginals,adidas Originals,Clothing & Outfits,Shopping & Retail,34.2M,United States,52.4K,71.8K,Fashion
44,alok,Alok,Music,Art/Artists,27M,Brazil,249.6K,319.9K,Music & Dance
45,alvaromorata,Álvaro Morata,Sports with a ball,Literature & Journalism,16.2M,Italy,113.1K,175.2K,Sports
48,alwaysramcharan,Ram Charan,Lifestyle,Cinema & Actors/actresses,5.6M,India,596.8K,668.3K,Lifestyle
49,amadorat,N I C O L E   A M A D O 🐉,Fashion,Lifestyle,8.1M,Mexico,505K,564.4K,Fashion
55,amybethmcnulty,AB Mcn,Lifestyle,Cinema & Actors/actresses,6.3M,Brazil,561.4K,771.3K,Lifestyle
56,ana_d_armas,A N A   D E   A R M A S,Cinema & Actors/actresses,Lifestyle,6.1M,United States,543.4K,735.3K,Movies
58,anasmarwah,Anas Marwah,Family,Shows,5.5M,Iraq,431.8K,557.5K,Other
59,andreavaldirisos,ANDREA VALDIRI 🇨🇴,Lifestyle,Beauty,7.7M,Colombia,411.3K,584.3K,Lifestyle
65,angeliqueboyer,Angelique Boyer,Shows,Cinema & Actors/actresses,13.9M,Brazil,247.4K,310.6K,Movies
71,annecurtissmith,Anne Curtis,Music,Cinema & Actors/actresses,17.8M,Philippines,134.7K,152.3K,Music & Dance
73,annemarie,ANNE-MARIE,Shows,Music,9.2M,India,242.5K,339.6K,Movies
77,antonelaroccuzzo,Antonela Roccuzzo,Modeling,Family,19M,Argentina,970.7K,1.6M,Fashion
85,apple,apple,Computers & Gadgets,Photography,27.4M,India,83.4K,111.2K,Science & Technology
91,aron.piper,ARON🌜🌞,Music,Lifestyle,13.9M,Brazil,273.1K,515.6K,Music & Dance
93,arthuraguiar,Arthur Aguiar,Music,Cinema & Actors/actresses,12.7M,Brazil,104.1K,236.8K,Music & Dance
99,aslisona,Sonakshi Sinha,Cinema & Actors/actresses,Lifestyle,21.4M,India,110.2K,134.1K,Movies
101,attahalilintar,Atta Halilintar - PAPATA,Art/Artists,Shows,23.1M,Indonesia,140.2K,192.3K,Art/Artists
103,aum_patchrapa,Patchrapa Chai,Cinema & Actors/actresses,Lifestyle,14.1M,Thailand,150.3K,179.2K,Movies
105,avani,avani,Beauty,Lifestyle,18.8M,United States,337K,451.9K,Beauty
107,avrillavigne,Avril Lavigne,Music,Cinema & Actors/actresses,10.7M,Brazil,211.2K,263K,Music & Dance
108,awez_darbar,Awez Darbar,Shows,Humor & Fun & Happiness,17.8M,India,466K,558.4K,Movies
109,aykutelmas,Aykut Elmas,Cinema & Actors/actresses,Photography,6.8M,Turkey,321K,376.5K,Movies
111,badgalriri,badgalriri,Music,Beauty,125.1M,United States,2.8M,4.6M,Music & Dance
