Influencer_insta_name,category_1,followers,audience_country,"authentic_engagement
","engagement_avg
"
433,Sports,48500000,Spain,383100,637000
__youngbae__,Celebrity/ Entertainment,12700000,Indonesia,478000,542300
_agentgirl_,Celebrity/ Entertainment,18800000,Russia,310800,377900
_imyour_joy,Travel/ Lifestyle,13500000,Indonesia,1100000,1400000
_rl9,Sports,25000000,Poland,588600,749000
_seorina,Travel/ Lifestyle,3000000,South Korea,803900,997800
21savage,Celebrity/ Entertainment,13200000,United States,263500,462000
333cyj333,Celebrity/ Entertainment,6500000,Thailand,359300,427700
3gerardpique,Sports,19800000,Spain,446100,658800
50cent,Celebrity/ Entertainment,27900000,United States,177500,283200
9gag,Travel/ Lifestyle,58300000,Indonesia,214700,276900
abdevilliers17,Sports,17200000,India,534000,615900
aboflah,Travel/ Lifestyle,7200000,Iraq,793400,949400
achrafhakimi,Sports,8800000,Morocco,520000,764500
actorleeminho,Celebrity/ Entertainment,28900000,Indonesia,2800000,3700000
acunilicali,Celebrity/ Entertainment,13600000,Turkey,233800,286300
adamsandler,Celebrity/ Entertainment,12700000,United States,395900,503900
addisonraee,Fashion/ Beauty,40500000,United States,1100000,1600000
adele,Celebrity/ Entertainment,49700000,United States,2600000,3600000
adidasoriginals,Fashion/ Beauty,34200000,United States,52400,71800
aishwaryaraibachchan_arb,Celebrity/ Entertainment,10000000,India,247600,316500
aislinnderbez,Celebrity/ Entertainment,12000000,Mexico,235700,295400
akshaykumar,Celebrity/ Entertainment,61100000,India,815300,971000
alejandrospeitzer,Travel/ Lifestyle,5100000,Mexico,313300,488600
aleoliveiracm,Travel/ Lifestyle,8300000,Brazil,235800,598400
alexandradaddario,Celebrity/ Entertainment,22400000,India,487900,596600
alexis_officia1,Sports,13400000,Chile,185200,304800
alexisren,Travel/ Lifestyle,15800000,United States,102000,158100
alfinetei,Travel/ Lifestyle,21100000,Brazil,99500,223600
aliaabhatt,Celebrity/ Entertainment,61800000,India,1200000,1500000
alidaei,Sports,8000000,Iran,555800,937000
aliiiiiiiikarimi8,Sports,9100000,Iran,328700,495100
alishalehmann7,Sports,6800000,Brazil,373800,705300
alluarjunonline,Celebrity/ Entertainment,17600000,India,1600000,2000000
alok,Celebrity/ Entertainment,27000000,Brazil,249600,319900
alvaromorata,Sports,16200000,Italy,113100,175200
alvaromorte,Celebrity/ Entertainment,12400000,India,244500,334700
alvxaro,Travel/ Lifestyle,9200000,Brazil,169600,424700
alwaysramcharan,Travel/ Lifestyle,5600000,India,596800,668300
amadorat,Fashion/ Beauty,8100000,Mexico,505000,564400
amandacerny,Travel/ Lifestyle,24100000,India,112900,180600
amandamanopo,Fashion/ Beauty,15200000,Indonesia,189600,250500
amauryguichon,Food,6700000,United States,357300,435700
amitabhbachchan,Celebrity/ Entertainment,30000000,India,88500,103600
amybethmcnulty,Travel/ Lifestyle,6300000,Brazil,561400,771300
ana_d_armas,Celebrity/ Entertainment,6100000,United States,543400,735300
ananyapanday,Celebrity/ Entertainment,21900000,India,318200,371800
anasmarwah,Family/ Home/ Parenting,5500000,Iraq,431800,557500
andreavaldirisos,Travel/ Lifestyle,7700000,Colombia,411300,584300
andresiniesta8,Sports,39000000,Spain,91500,132300
angela_aguilar_,Travel/ Lifestyle,8200000,Mexico,285500,346000
angeldimariajm,Sports,16300000,Argentina,294600,434100
angelinajolie,Travel/ Lifestyle,12600000,Brazil,274600,456100
angeliqueboyer,Celebrity/ Entertainment,13900000,Brazil,247400,310600
angelrai07,Travel/ Lifestyle,14900000,India,462200,557400
anitta,Celebrity/ Entertainment,61100000,Brazil,542800,1000000
anjimaxuofficially,Travel/ Lifestyle,11100000,India,173300,221200
annakendrick47,Celebrity/ Entertainment,20300000,United States,210000,274200
annecurtissmith,Celebrity/ Entertainment,17800000,Philippines,134700,152300
annehathaway,Celebrity/ Entertainment,22600000,United States,704300,928400
annemarie,Celebrity/ Entertainment,9200000,India,242500,339600
ansufati,Sports,8000000,Spain,475200,721000
anthonyjoshua,Health/ Fitness,13600000,United Kingdom,142000,192800
antogriezmann,Sports,35500000,Spain,205300,329600
antonelaroccuzzo,Fashion/ Beauty,19000000,Argentina,970700,1600000
anuel,Celebrity/ Entertainment,27900000,Spain,586000,892100
anupamaparameswaran96,Celebrity/ Entertainment,11400000,India,510400,583300
anushkasen0408,Celebrity/ Entertainment,34500000,India,379100,443800
anushkasharma,Celebrity/ Entertainment,57500000,India,1100000,1300000
anyageraldine,Celebrity/ Entertainment,10700000,Indonesia,182300,305200
apple,Business/ Tech/ Gaming,27400000,India,83400,111200
araikgalstyanmoscowschool,Fashion/ Beauty,13000000,Turkey,323000,416700
arianagrande,Celebrity/ Entertainment,302300000,United States,2900000,4100000
arishfakhan138,Celebrity/ Entertainment,28000000,India,183100,221400
aron.piper,Celebrity/ Entertainment,13900000,Brazil,273100,515600
arsenal,Sports,21500000,United Kingdom,79900,120000
arthuraguiar,Celebrity/ Entertainment,12700000,Brazil,104100,236800
asalamaleh,Celebrity/ Entertainment,6600000,Iraq,415900,514500
asaprocky,Celebrity/ Entertainment,14600000,United States,383600,641700
ashishchanchlani,Celebrity/ Entertainment,13300000,India,832600,1000000
ashleybenson,Fashion/ Beauty,22400000,Brazil,101000,144300
ashleygraham,Fashion/ Beauty,17200000,United States,392700,519500
aslisona,Celebrity/ Entertainment,21400000,India,110200,134100
ateez_official_,Celebrity/ Entertainment,6300000,United States,410900,472100
attahalilintar,Celebrity/ Entertainment,23100000,Indonesia,140200,192300
auba,Sports,12000000,United Kingdom,379300,602100
aum_patchrapa,Celebrity/ Entertainment,14100000,Thailand,150300,179200
aurelie.hermansyah,Fashion/ Beauty,25300000,Indonesia,475200,601100
avani,Fashion/ Beauty,18800000,United States,337000,451900
avneetkaur_13,Celebrity/ Entertainment,30500000,India,281300,341100
avrillavigne,Celebrity/ Entertainment,10700000,Brazil,211200,263000
awez_darbar,Celebrity/ Entertainment,17800000,India,466000,558400
aykutelmas,Celebrity/ Entertainment,6800000,Turkey,321000,376500
badbunnypr,Celebrity/ Entertainment,38500000,United States,2500000,3900000
badgalriri,Celebrity/ Entertainment,125100000,United States,2800000,4600000
baifernbah,Travel/ Lifestyle,10400000,Indonesia,224500,284600
bambam1a,Celebrity/ Entertainment,16000000,Brazil,684300,863000
barackobama,Business/ Tech/ Gaming,35400000,United States,148300,174600
bbrightvc,Celebrity/ Entertainment,13500000,Indonesia,1700000,2000000
bclsinclair,Celebrity/ Entertainment,20200000,Indonesia,153500,242600
beberexha,Celebrity/ Entertainment,10800000,India,221500,327000
bebytsabina,Fashion/ Beauty,7100000,Indonesia,243400,373900
beingsalmankhan,Celebrity/ Entertainment,50700000,India,474600,604400
belindapop,Celebrity/ Entertainment,14900000,Mexico,136700,197000
bellahadid,Fashion/ Beauty,50600000,United States,566900,905300
bellathorne,Celebrity/ Entertainment,25200000,United States,289500,485700
bernardokath,Fashion/ Beauty,16800000,Philippines,452700,545400
beyonce,Celebrity/ Entertainment,246900000,United States,2600000,3700000
